"metric","breakdown","subgroup","geogConcat","Sector"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","Scotland","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","South East","Science and tech"
"Employed","4-digit occupation SOC2020","IT business analysts, architects and systems designers","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Marketing, sales and advertising directors","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Human resource managers and directors","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","South East","Science and tech"
"Employed","4-digit occupation SOC2020","IT business analysts, architects and systems designers","South East","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Construction and building trades n.e.c.","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Construction and building trades n.e.c.","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Electricians and electrical fitters","South West","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","Wales","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","Wales","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","Wales","Science and tech"
"Employed","4-digit occupation SOC2020","Business and financial project management professionals","Wales","Science and tech"
"Employed","4-digit occupation SOC2020","Farmers","Wales","Science and tech"
"Employed","4-digit occupation SOC2020","Higher education teaching professionals","Wales","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","Wales","Science and tech"
"Employed","4-digit occupation SOC2020","Electricians and electrical fitters","Wales","Science and tech"
"Employed","4-digit occupation SOC2020","Electricians and electrical fitters","Wales","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","Wales","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","West Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","West Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","West Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","West Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Production managers and directors in manufacturing","West Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Higher education teaching professionals","West Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Production managers and directors in manufacturing","West Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","West Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Specialist medical practitioners","West Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","West Midlands","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","Yorkshire and The Humber","Science and tech"
"Employed","4-digit occupation SOC2020","Programmers and software development professionals","Yorkshire and The Humber","Science and tech"
"Employed","4-digit occupation SOC2020","Secondary education teaching professionals","Yorkshire and The Humber","Science and tech"
"Employed","4-digit occupation SOC2020","Electricians and electrical fitters","Yorkshire and The Humber","Science and tech"
"Employed","4-digit occupation SOC2020","Electricians and electrical fitters","Yorkshire and The Humber","Science and tech"
"Employed","4-digit occupation SOC2020","Production managers and directors in manufacturing","Yorkshire and The Humber","Science and tech"
"Employed","4-digit occupation SOC2020","Financial managers and directors","Yorkshire and The Humber","Science and tech"
"Employed","4-digit occupation SOC2020","Production managers and directors in manufacturing","Yorkshire and The Humber","Science and tech"
"Employed","4-digit occupation SOC2020","Other nursing professionals","Yorkshire and The Humber","Science and tech"
"Employed","4-digit occupation SOC2020","Higher education teaching professionals","Yorkshire and The Humber","Science and tech"
