"subgroup","breakdown","Employed","EmployedLast","growth","EmployedFemale","femalePerc","Underepresented","Overepreseneted","Earnings","population","populationLast","growthEarn","EarnPop","EarnPopLast"
"Rail transport operatives","4-digit occupation SOC2020",10000,13100,-0.236641221374046,NA,NA,"London","West Midlands",49993,13,13,0.0121474702893122,649909,642109
"Other drivers and transport operatives n.e.c.","4-digit occupation SOC2020",15700,16300,-0.0368098159509202,3100,0.197452229299363,"London","North West",NA,NA,NA,NA,NA,NA
"Farm workers","4-digit occupation SOC2020",25400,23600,0.076271186440678,8400,0.330708661417323,"East Midlands","East",22360,32,32,0.0190502233160149,715520,702144
"Forestry and related workers","4-digit occupation SOC2020",7400,6900,0.072463768115942,NA,NA,"North West","North East",25157,NA,NA,0.111223993992668,NA,NA
"Fishing and other elementary agriculture occupations n.e.c.","4-digit occupation SOC2020",17400,19800,-0.121212121212121,4900,0.281609195402299,"London","South East",NA,NA,15,NA,NA,279795
"Groundworkers","4-digit occupation SOC2020",29700,26900,0.104089219330855,NA,NA,"London","South East",33653,12,12,0.116667219696718,403836,361644
"Elementary construction occupations n.e.c.","4-digit occupation SOC2020",89700,91400,-0.0185995623632385,4700,0.052396878483835,"London","Yorkshire and The Humber",22941,38,46,0.0391357521402364,871758,1015542
"Industrial cleaning process occupations","4-digit occupation SOC2020",128000,202800,-0.368836291913215,80100,0.62578125,"South East","West Midlands",17771,18,18,-0.0586396864074584,319878,339804
"Packers, bottlers, canners and fillers","4-digit occupation SOC2020",82800,92500,-0.104864864864865,33300,0.402173913043478,"London","East Midlands",22389,67,79,0.0920930686307985,1500063,1619579
"Elementary process plant occupations n.e.c.","4-digit occupation SOC2020",51300,57700,-0.110918544194107,10100,0.196881091617934,"London","West Midlands",24184,44,48,0.0442141623488774,1064096,1111680
"Postal workers, mail sorters and messengers","4-digit occupation SOC2020",112300,133200,-0.156906906906907,30300,0.269813000890472,"London","Yorkshire and The Humber",27839,135,146,0.0643447010246215,3758265,3818776
"Elementary administration occupations n.e.c.","4-digit occupation SOC2020",34800,41200,-0.155339805825243,14700,0.422413793103448,"London","West Midlands",16533,22,NA,0.118379219373605,363726,NA
"Window cleaners","4-digit occupation SOC2020",35700,29700,0.202020202020202,13800,0.38655462184874,"London","West Midlands",19415,NA,NA,-0.0848887631975867,NA,NA
"Street cleaners","4-digit occupation SOC2020",9300,7800,0.192307692307692,NA,NA,"South East","East",21678,NA,5,0.0877069744104365,NA,99650
"Cleaners and domestics","4-digit occupation SOC2020",312200,259400,0.203546646106399,267500,0.856822549647662,"East","West Midlands",10679,416,446,0.0562809099901088,4442464,4509060
"Launderers, dry cleaners and pressers","4-digit occupation SOC2020",13000,14300,-0.0909090909090909,10600,0.815384615384615,"London","East",15427,12,15,0.143672622136556,185124,202335
"Refuse and salvage occupations","4-digit occupation SOC2020",26300,31500,-0.165079365079365,1000,0.0380228136882129,"London","West Midlands",22500,18,22,0.0332476120499633,405000,479072
"Vehicle valeters and cleaners","4-digit occupation SOC2020",17400,16700,0.0419161676646707,2300,0.132183908045977,"London","East Midlands",18586,11,11,0.125469298776795,204446,181654
"Elementary cleaning occupations n.e.c.","4-digit occupation SOC2020",10700,7100,0.507042253521127,4100,0.383177570093458,"South East","West Midlands",22133,NA,NA,0.164526991476376,NA,NA
"Security guards and related occupations","4-digit occupation SOC2020",167900,170700,-0.0164030462800234,27700,0.164979154258487,"Yorkshire and The Humber","London",24311,84,88,-0.0106218460035813,2042124,2162336
"School midday and crossing patrol occupations","4-digit occupation SOC2020",59000,66700,-0.11544227886057,54800,0.928813559322034,"South East","East",4236,58,75,0.0699671634251074,245688,296925
"Exam invigilators","4-digit occupation SOC2020",24400,16200,0.506172839506173,19100,0.782786885245902,"London","South East",NA,NA,11,NA,NA,NA
"Shelf fillers","4-digit occupation SOC2020",62500,43000,0.453488372093023,29500,0.472,"London","South West",15452,13,46,0.184696772214981,200876,599978
"Elementary sales occupations n.e.c.","4-digit occupation SOC2020",25500,28100,-0.0925266903914591,16600,0.650980392156863,"London","East Midlands",17897,NA,6,0.197203826342899,NA,89694
"Elementary storage supervisors","4-digit occupation SOC2020",32300,31200,0.0352564102564103,6100,0.188854489164087,"London","West Midlands",27508,26,28,0.0281058454178502,715208,749168
"Warehouse operatives","4-digit occupation SOC2020",359900,353800,0.0172413793103448,68100,0.189219227563212,"London","West Midlands",23155,373,387,0.0231088723930718,8636815,8758584
"Delivery operatives","4-digit occupation SOC2020",19000,14000,0.357142857142857,3300,0.173684210526316,"North West","East Midlands",21771,14,18,0.022592766557069,304794,383220
"Elementary storage occupations n.e.c.","4-digit occupation SOC2020",6000,11600,-0.482758620689655,NA,NA,"Yorkshire and The Humber","North West",25647,7,7,-0.0655468920789915,179529,192122
"Bar and catering supervisors","4-digit occupation SOC2020",35800,49000,-0.269387755102041,22300,0.622905027932961,"South East","London",17365,21,28,0.215610780539027,364665,399980
"Hospital porters","4-digit occupation SOC2020",12200,12700,-0.0393700787401575,NA,NA,"South West","North West",19255,NA,NA,-0.0322175311620426,NA,NA
"Kitchen and catering assistants","4-digit occupation SOC2020",320000,303700,0.0536713862364175,201400,0.629375,"London","Yorkshire and The Humber",11377,225,285,0.148495861094286,2559825,2823210
"Waiters and waitresses","4-digit occupation SOC2020",220700,177700,0.24198086662915,160000,0.724966017217943,"North West","London",9596,60,111,0.127747091315078,575760,944499
"Bar staff","4-digit occupation SOC2020",130300,115300,0.13009540329575,72500,0.55640828856485,"London","North West",8845,68,101,0.29692082111437,601460,688820
"Coffee shop workers","4-digit occupation SOC2020",42700,36100,0.182825484764543,26600,0.622950819672131,"London","Yorkshire and The Humber",NA,NA,NA,NA,NA,NA
"Leisure and theme park attendants","4-digit occupation SOC2020",24800,27100,-0.0848708487084871,15100,0.608870967741935,"London","South East",NA,NA,15,NA,NA,124125
"Other elementary services occupations n.e.c.","4-digit occupation SOC2020",28400,33000,-0.139393939393939,14400,0.507042253521127,"Yorkshire and The Humber","North East",14593,7,8,0.130364058869094,102151,103280
"Science and tech","4-digit occupation SOC2020",9809200,9454400,0.0375275004230834,3513900,0.358224931696774,"West Midlands","London",45431.4472904067,NA,NA,0.0481073724385306,NA,NA
